2025-09-29 15:47:11 | INFO | __main__:<module>:9 | no_req | Testing logger after fixes
2025-09-29 15:47:22 | INFO | data_science.chunker:__init__:69 | no_req | DocumentChunker initialized with chunk_size=500, chunk_overlap=50
2025-09-29 15:48:02 | INFO | data_science.embedder:_load_model:37 | no_req | Loading embedding model: all-MiniLM-L6-v2
2025-09-29 15:48:07 | INFO | data_science.embedder:_load_model:43 | no_req | Successfully loaded model all-MiniLM-L6-v2 (dimensions: 384, load_time: 4.65s)
2025-09-29 15:48:11 | INFO | app.integrations.llm_client:__init__:53 | no_req | LLMClient initialized with deployment: deepseek-r1
2025-09-29 15:48:11 | INFO | app.services.rag_service:__init__:45 | no_req | RAG service initialized
2025-09-29 15:48:13 | INFO | data_science.chunker:__init__:69 | no_req | DocumentChunker initialized with chunk_size=500, chunk_overlap=50
2025-09-29 15:48:25 | INFO | data_science.embedder:_load_model:37 | no_req | Loading embedding model: all-MiniLM-L6-v2
2025-09-29 15:48:27 | INFO | data_science.embedder:_load_model:43 | no_req | Successfully loaded model all-MiniLM-L6-v2 (dimensions: 384, load_time: 2.69s)
2025-09-29 15:48:30 | INFO | app.integrations.llm_client:__init__:53 | no_req | LLMClient initialized with deployment: deepseek-r1
2025-09-29 15:48:30 | INFO | app.services.rag_service:__init__:45 | no_req | RAG service initialized
2025-09-29 15:49:05 | INFO | app.services.logger_service:log_performance:175 | health_check | Operation completed
2025-09-29 15:49:48 | INFO | app.integrations.vector_db:connect:47 | no_req | Connecting to MongoDB Atlas
2025-09-29 15:49:54 | ERROR | app.services.logger_service:log_error:160 | no_req | Application error occurred
2025-09-29 15:49:54 | ERROR | app.services.logger_service:log_error:160 | no_req | Application error occurred
2025-09-29 15:49:54 | INFO | app.integrations.vector_db:connect:47 | no_req | Connecting to MongoDB Atlas
2025-09-29 15:49:55 | ERROR | app.services.logger_service:log_llm_request:211 | no_req | LLM request failed
2025-09-29 15:49:55 | ERROR | app.services.logger_service:log_error:160 | no_req | Application error occurred
2025-09-29 15:49:57 | INFO | app.services.logger_service:log_performance:175 | no_req | Operation completed
2025-09-29 15:49:59 | ERROR | app.services.logger_service:log_error:160 | no_req | Application error occurred
2025-09-29 15:49:59 | ERROR | app.services.logger_service:log_error:160 | no_req | Application error occurred
2025-09-29 15:49:59 | ERROR | app.services.logger_service:log_llm_request:211 | no_req | LLM request failed
2025-09-29 15:49:59 | ERROR | app.services.logger_service:log_error:160 | no_req | Application error occurred
2025-09-29 15:50:03 | ERROR | app.services.logger_service:log_llm_request:211 | no_req | LLM request failed
2025-09-29 15:50:03 | ERROR | app.services.logger_service:log_error:160 | no_req | Application error occurred
2025-09-29 15:50:03 | ERROR | app.services.logger_service:log_error:160 | no_req | Application error occurred
2025-09-29 15:50:03 | INFO | app.services.rag_service:health_check:396 | no_req | RAG service health check completed: {'chunker': True, 'embedder': True, 'vector_db': False, 'llm_client': False, 'overall': False}
2025-09-29 15:52:37 | INFO | data_science.chunker:__init__:69 | no_req | DocumentChunker initialized with chunk_size=500, chunk_overlap=50
2025-09-29 15:52:46 | INFO | data_science.embedder:_load_model:37 | no_req | Loading embedding model: all-MiniLM-L6-v2
2025-09-29 15:52:49 | INFO | data_science.embedder:_load_model:43 | no_req | Successfully loaded model all-MiniLM-L6-v2 (dimensions: 384, load_time: 2.85s)
2025-09-29 15:52:52 | INFO | app.integrations.llm_client:__init__:53 | no_req | LLMClient initialized with deployment: deepseek-r1
2025-09-29 15:52:52 | INFO | app.services.rag_service:__init__:45 | no_req | RAG service initialized
2025-09-29 15:52:52 | INFO | __main__:<module>:183 | no_req | Starting FastAPI application directly
2025-09-29 15:52:54 | INFO | data_science.chunker:__init__:69 | no_req | DocumentChunker initialized with chunk_size=500, chunk_overlap=50
2025-09-29 15:53:04 | INFO | data_science.embedder:_load_model:37 | no_req | Loading embedding model: all-MiniLM-L6-v2
